id, class, score, x, y, w, h
1, WBC,  95%, 145, 91, 165, 201
2, RBC,  94%, 0, 148, 56, 97
3, RBC,  94%, 88, 99, 74, 104
4, RBC,  90%, 95, 183, 73, 99
5, RBC,  87%, 235, 295, 69, 84
6, RBC,  85%, 261, 213, 78, 107
7, RBC,  82%, 29, 7, 80, 96
8, RBC,  71%, 141, 361, 65, 54
9, RBC,  69%, 346, 185, 67, 85
10, RBC,  65%, 374, 132, 40, 87
11, RBC,  65%, 311, 297, 82, 100
12, RBC,  64%, 282, 380, 87, 34
13, RBC,  55%, 382, 39, 31, 81
14, RBC,  54%, 358, 286, 56, 88
15, RBC,  53%, 150, 257, 80, 103
16, RBC,  41%, 1, 285, 33, 118
17, RBC,  40%, 91, 0, 81, 68
18, RBC,  40%, 149, 0, 98, 58
