id, class, score, x, y, w, h
1, RBC,  85%, 104, 121, 64, 82
2, RBC,  81%, 133, 25, 71, 95
3, RBC,  79%, 111, 297, 72, 88
4, RBC,  75%, 183, 217, 74, 93
5, RBC,  74%, 279, 209, 72, 98
6, RBC,  74%, 291, 117, 72, 96
7, WBC,  70%, 0, 221, 100, 129
8, RBC,  63%, 269, 305, 73, 101
9, RBC,  62%, 44, 147, 66, 83
10, RBC,  61%, 4, 23, 61, 102
11, RBC,  60%, 59, 0, 69, 68
12, RBC,  58%, 274, 48, 70, 83
13, RBC,  58%, 190, 101, 80, 112
14, RBC,  51%, 3, 124, 73, 84
15, RBC,  45%, 236, 0, 61, 82
16, RBC,  44%, 306, 0, 73, 46
17, RBC,  41%, 23, 137, 71, 79
