id, class, score, x, y, w, h
1, RBC,  74%, 212, 142, 62, 82
2, WBC,  73%, 226, 2, 114, 130
3, RBC,  63%, 132, 254, 71, 95
4, RBC,  59%, 161, 198, 69, 94
5, RBC,  55%, 68, 343, 78, 68
6, RBC,  53%, 304, 229, 76, 104
7, RBC,  53%, 0, 55, 64, 96
8, RBC,  49%, 273, 171, 62, 84
9, RBC,  49%, 79, 44, 74, 108
10, RBC,  48%, 1, 125, 74, 96
11, RBC,  48%, 168, 95, 61, 91
12, RBC,  48%, 137, 30, 72, 90
13, RBC,  46%, 316, 127, 79, 103
14, RBC,  44%, 222, 317, 80, 96
15, RBC,  42%, 67, 82, 77, 106
16, RBC,  41%, 0, 357, 51, 58
17, RBC,  40%, 59, 113, 76, 104
