id, class, score, x, y, w, h
1, RBC,  81%, 162, 12, 83, 89
2, WBC,  80%, 106, 96, 168, 205
3, RBC,  69%, 263, 37, 72, 83
4, RBC,  68%, 190, 290, 78, 98
5, RBC,  68%, 105, 260, 72, 94
6, RBC,  64%, 335, 124, 76, 114
7, RBC,  64%, 71, 9, 70, 77
8, RBC,  64%, 19, 75, 70, 99
9, RBC,  57%, 320, 42, 78, 88
10, RBC,  53%, 301, 276, 74, 93
11, RBC,  52%, 244, 207, 78, 96
12, RBC,  50%, 5, 0, 68, 80
13, RBC,  50%, 72, 346, 73, 68
14, RBC,  46%, 56, 167, 71, 98
15, RBC,  41%, 320, 363, 73, 52
16, Platelets,  40%, 309, 180, 30, 36
17, RBC,  40%, 374, 305, 41, 90
