id, class, score, x, y, w, h
1, RBC,  94%, 4, 322, 66, 89
2, RBC,  93%, 89, 174, 69, 75
3, RBC,  86%, 370, 159, 44, 99
4, RBC,  85%, 312, 247, 82, 105
5, RBC,  81%, 279, 147, 86, 97
6, RBC,  80%, 60, 322, 78, 89
7, RBC,  77%, 38, 35, 85, 109
8, RBC,  70%, 189, 42, 70, 91
9, RBC,  67%, 325, 1, 70, 80
10, WBC,  58%, 175, 220, 110, 152
11, RBC,  56%, 222, 0, 65, 76
12, RBC,  54%, 263, 45, 76, 93
13, RBC,  54%, 141, 133, 91, 101
14, RBC,  48%, 281, 368, 97, 45
15, RBC,  46%, 183, 362, 84, 51
16, RBC,  43%, 140, 380, 78, 35
17, RBC,  40%, 3, 204, 70, 108
