id, class, score, x, y, w, h
1, WBC,  95%, 96, 206, 155, 189
2, RBC,  86%, 0, 50, 66, 81
3, RBC,  86%, 29, 330, 72, 81
4, RBC,  84%, 200, 77, 80, 103
5, RBC,  80%, 270, 349, 84, 65
6, RBC,  80%, 47, 30, 78, 76
7, RBC,  76%, 268, 147, 57, 85
8, RBC,  75%, 51, 137, 66, 82
9, RBC,  70%, 5, 266, 68, 88
10, RBC,  61%, 288, 229, 86, 113
11, RBC,  51%, 285, 95, 72, 88
12, RBC,  51%, 103, 361, 104, 51
13, RBC,  50%, 333, 284, 78, 95
14, RBC,  45%, 369, 208, 46, 95
15, RBC,  43%, 89, 155, 73, 98
16, RBC,  41%, 57, 0, 80, 39
17, RBC,  41%, 347, 95, 64, 89
18, RBC,  41%, 0, 0, 35, 55
