id, class, score, x, y, w, h
1, RBC,  76%, 85, 292, 70, 84
2, WBC,  75%, 146, 193, 145, 162
3, RBC,  72%, 134, 91, 70, 100
4, RBC,  70%, 48, 66, 72, 78
5, RBC,  67%, 17, 214, 70, 98
6, RBC,  61%, 124, 1, 79, 70
7, RBC,  59%, 207, 75, 82, 103
8, RBC,  58%, 304, 96, 66, 93
9, RBC,  55%, 0, 58, 51, 82
10, RBC,  53%, 88, 123, 64, 98
11, Platelets,  53%, 365, 192, 29, 41
12, RBC,  53%, 16, 297, 69, 95
13, RBC,  53%, 148, 337, 70, 73
14, RBC,  48%, 67, 0, 62, 58
15, RBC,  44%, 266, 12, 81, 95
16, RBC,  43%, 320, 80, 72, 98
17, RBC,  41%, 351, 62, 61, 105
18, RBC,  40%, 260, 273, 66, 101
