id, class, score, x, y, w, h
1, RBC,  96%, 329, 127, 68, 93
2, RBC,  94%, 220, 189, 78, 96
3, WBC,  94%, 2, 215, 119, 184
4, RBC,  91%, 285, 142, 54, 75
5, RBC,  85%, 2, 128, 57, 83
6, RBC,  83%, 189, 272, 78, 112
7, RBC,  80%, 189, 66, 66, 89
8, RBC,  79%, 367, 209, 48, 92
9, RBC,  77%, 53, 0, 65, 77
10, RBC,  73%, 110, 27, 80, 87
11, RBC,  57%, 133, 297, 61, 83
12, RBC,  56%, 245, 9, 60, 80
13, RBC,  50%, 295, 371, 60, 43
14, RBC,  47%, 116, 159, 70, 77
15, RBC,  44%, 328, 308, 74, 81
16, RBC,  41%, 180, 0, 72, 71
