id, class, score, x, y, w, h
1, RBC,  82%, 77, 223, 65, 85
2, WBC,  80%, 172, 173, 107, 114
3, RBC,  76%, 63, 55, 81, 78
4, RBC,  74%, 59, 307, 70, 97
5, RBC,  69%, 319, 323, 79, 91
6, RBC,  65%, 278, 142, 61, 108
7, RBC,  64%, 202, 72, 80, 86
8, RBC,  64%, 136, 33, 73, 94
9, RBC,  59%, 117, 114, 73, 101
10, RBC,  57%, 347, 6, 68, 96
11, RBC,  56%, 6, 160, 81, 107
12, RBC,  56%, 336, 181, 67, 84
13, RBC,  55%, 338, 90, 73, 95
14, RBC,  49%, 207, 0, 79, 64
15, RBC,  48%, 2, 314, 56, 91
16, RBC,  48%, 183, 304, 73, 87
17, RBC,  45%, 270, 266, 69, 95
18, RBC,  42%, 240, 329, 71, 83
19, RBC,  40%, 126, 280, 77, 93
