id, class, score, x, y, w, h
1, RBC,  71%, 176, 80, 73, 93
2, RBC,  71%, 3, 297, 77, 100
3, WBC,  68%, 203, 273, 133, 142
4, RBC,  64%, 312, 12, 64, 102
5, RBC,  63%, 303, 192, 70, 93
6, RBC,  63%, 111, 134, 70, 98
7, RBC,  62%, 18, 151, 83, 107
8, RBC,  61%, 251, 166, 72, 99
9, RBC,  61%, 232, 0, 76, 84
10, RBC,  56%, 77, 244, 68, 101
11, RBC,  55%, 73, 0, 76, 88
12, RBC,  54%, 255, 92, 81, 96
13, RBC,  54%, 365, 49, 50, 94
14, RBC,  51%, 334, 132, 74, 91
15, RBC,  47%, 76, 313, 73, 101
16, RBC,  47%, 147, 0, 77, 74
17, RBC,  45%, 12, 78, 78, 94
18, RBC,  41%, 153, 367, 74, 48
