id, class, score, x, y, w, h
1, RBC,  93%, 354, 284, 57, 89
2, RBC,  93%, 67, 258, 70, 105
3, RBC,  92%, 219, 115, 70, 87
4, RBC,  92%, 231, 2, 71, 87
5, RBC,  90%, 104, 168, 79, 83
6, RBC,  89%, 286, 69, 76, 109
7, WBC,  87%, 137, 214, 203, 201
8, RBC,  86%, 144, 74, 72, 105
9, RBC,  85%, 297, 248, 71, 98
10, RBC,  82%, 1, 219, 58, 99
11, RBC,  81%, 0, 44, 44, 95
12, RBC,  68%, 0, 326, 49, 83
13, RBC,  68%, 366, 0, 48, 113
14, RBC,  63%, 0, 145, 43, 89
15, RBC,  58%, 82, 378, 75, 36
16, RBC,  49%, 357, 386, 58, 28
17, RBC,  44%, 104, 1, 81, 38
