id, class, score, x, y, w, h
1, WBC,  81%, 158, 51, 170, 200
2, RBC,  76%, 114, 240, 73, 90
3, RBC,  74%, 286, 223, 71, 94
4, RBC,  74%, 351, 85, 64, 92
5, RBC,  72%, 0, 231, 64, 103
6, RBC,  71%, 285, 317, 87, 87
7, RBC,  71%, 153, 298, 68, 94
8, RBC,  70%, 348, 177, 64, 96
9, RBC,  67%, 211, 245, 76, 104
10, RBC,  61%, 76, 149, 81, 99
11, RBC,  58%, 116, 52, 67, 93
12, RBC,  57%, 83, 329, 75, 83
13, RBC,  55%, 0, 337, 73, 78
14, RBC,  54%, 108, 3, 71, 93
15, RBC,  48%, 39, 57, 79, 101
16, RBC,  45%, 208, 349, 67, 66
17, RBC,  44%, 257, 3, 81, 71
