id, class, score, x, y, w, h
1, WBC,  97%, 201, 9, 137, 178
2, RBC,  94%, 103, 181, 68, 88
3, RBC,  94%, 292, 169, 77, 97
4, RBC,  93%, 178, 169, 63, 83
5, RBC,  92%, 229, 204, 65, 85
6, RBC,  92%, 123, 90, 68, 89
7, RBC,  92%, 175, 296, 71, 94
8, RBC,  91%, 120, 4, 74, 85
9, RBC,  90%, 336, 94, 65, 87
10, RBC,  87%, 62, 246, 73, 94
11, RBC,  84%, 49, 150, 73, 92
12, RBC,  80%, 232, 297, 69, 88
13, RBC,  77%, 23, 1, 64, 65
14, RBC,  77%, 322, 265, 65, 91
15, RBC,  72%, 91, 34, 71, 73
16, RBC,  72%, 0, 376, 73, 37
17, RBC,  72%, 376, 280, 38, 93
18, RBC,  71%, 99, 314, 73, 94
19, RBC,  65%, 1, 270, 68, 95
20, RBC,  65%, 377, 164, 37, 93
21, RBC,  60%, 284, 357, 65, 56
22, RBC,  52%, 15, 169, 59, 80
