id, class, score, x, y, w, h
1, RBC,  90%, 136, 59, 76, 96
2, RBC,  89%, 331, 261, 75, 95
3, RBC,  88%, 78, 238, 80, 93
4, RBC,  88%, 79, 124, 86, 106
5, RBC,  86%, 275, 161, 74, 90
6, WBC,  83%, 0, 242, 52, 151
7, RBC,  80%, 142, 178, 77, 85
8, RBC,  69%, 70, 10, 77, 108
9, RBC,  67%, 63, 333, 78, 78
10, RBC,  64%, 193, 294, 74, 98
11, RBC,  64%, 143, 216, 78, 83
12, RBC,  60%, 252, 300, 71, 79
13, RBC,  53%, 353, 357, 61, 58
14, RBC,  52%, 6, 386, 63, 29
15, RBC,  50%, 219, 67, 77, 89
16, RBC,  46%, 190, 213, 76, 82
17, RBC,  44%, 323, 169, 68, 80
