id, class, score, x, y, w, h
1, RBC,  84%, 310, 307, 72, 108
2, WBC,  79%, 79, 77, 155, 216
3, RBC,  76%, 236, 176, 84, 94
4, Platelets,  71%, 276, 340, 33, 42
5, RBC,  64%, 152, 295, 71, 101
6, RBC,  57%, 136, 4, 65, 85
7, RBC,  56%, 321, 104, 75, 88
8, RBC,  55%, 48, 2, 77, 75
9, RBC,  55%, 239, 110, 64, 76
10, RBC,  54%, 294, 66, 67, 101
11, RBC,  52%, 75, 298, 64, 88
12, RBC,  47%, 192, 0, 70, 62
13, RBC,  45%, 89, 265, 68, 91
14, RBC,  44%, 191, 270, 73, 80
15, RBC,  42%, 2, 189, 57, 95
16, RBC,  41%, 188, 50, 70, 86
17, RBC,  41%, 13, 359, 71, 56
