id, class, score, x, y, w, h
1, RBC,  85%, 349, 174, 62, 89
2, WBC,  82%, 146, 120, 154, 201
3, RBC,  81%, 92, 87, 77, 97
4, RBC,  78%, 301, 93, 80, 97
5, RBC,  75%, 25, 217, 78, 102
6, RBC,  72%, 328, 337, 69, 77
7, RBC,  71%, 126, 251, 61, 92
8, RBC,  71%, 226, 351, 68, 64
9, RBC,  70%, 206, 21, 81, 89
10, RBC,  68%, 352, 261, 63, 89
11, RBC,  64%, 69, 314, 67, 98
12, RBC,  63%, 183, 294, 63, 87
13, RBC,  63%, 22, 19, 72, 102
14, RBC,  60%, 25, 133, 74, 88
15, RBC,  59%, 266, 252, 78, 101
16, RBC,  42%, 345, 5, 68, 93
