id, class, score, x, y, w, h
1, WBC,  97%, 180, 37, 152, 166
2, RBC,  94%, 85, 254, 67, 93
3, RBC,  91%, 41, 65, 65, 88
4, RBC,  88%, 311, 343, 74, 71
5, RBC,  84%, 345, 249, 66, 89
6, RBC,  79%, 295, 135, 73, 104
7, RBC,  79%, 150, 189, 70, 117
8, RBC,  78%, 239, 269, 77, 98
9, RBC,  76%, 44, 161, 67, 70
10, RBC,  75%, 35, 314, 79, 94
11, RBC,  75%, 368, 0, 47, 38
12, RBC,  74%, 52, 213, 77, 73
13, RBC,  72%, 110, 73, 68, 82
14, RBC,  70%, 114, 22, 60, 70
15, RBC,  69%, 1, 36, 58, 87
16, RBC,  59%, 320, 37, 68, 86
17, RBC,  55%, 102, 363, 67, 50
18, RBC,  52%, 75, 0, 77, 31
19, RBC,  46%, 1, 125, 44, 94
20, RBC,  42%, 168, 386, 66, 28
