id, class, score, x, y, w, h
1, WBC,  82%, 79, 199, 148, 181
2, RBC,  78%, 348, 247, 63, 87
3, RBC,  73%, 31, 98, 60, 90
4, RBC,  72%, 49, 0, 68, 78
5, RBC,  72%, 250, 192, 69, 95
6, RBC,  69%, 50, 316, 69, 85
7, RBC,  69%, 315, 75, 72, 89
8, RBC,  69%, 214, 52, 75, 85
9, RBC,  68%, 112, 10, 72, 107
10, RBC,  68%, 234, 265, 72, 94
11, RBC,  67%, 88, 92, 61, 95
12, RBC,  67%, 52, 171, 65, 81
13, RBC,  66%, 4, 231, 67, 110
14, RBC,  57%, 330, 349, 75, 66
15, RBC,  50%, 179, 80, 71, 94
16, RBC,  48%, 0, 342, 44, 73
17, RBC,  45%, 305, 0, 66, 58
18, RBC,  43%, 205, 0, 72, 48
19, RBC,  41%, 191, 65, 81, 96
