id, class, score, x, y, w, h
1, WBC,  96%, 0, 162, 141, 211
2, RBC,  95%, 244, 239, 75, 90
3, RBC,  94%, 12, 63, 68, 86
4, RBC,  93%, 143, 307, 75, 90
5, RBC,  91%, 231, 156, 74, 87
6, RBC,  91%, 83, 61, 63, 80
7, RBC,  91%, 217, 320, 65, 93
8, RBC,  89%, 273, 23, 64, 85
9, RBC,  88%, 145, 202, 67, 81
10, RBC,  88%, 212, 61, 66, 104
11, RBC,  87%, 331, 245, 75, 89
12, RBC,  86%, 309, 192, 57, 68
13, RBC,  84%, 354, 34, 59, 107
14, RBC,  84%, 144, 13, 65, 89
15, RBC,  81%, 358, 371, 56, 44
16, RBC,  71%, 88, 0, 69, 55
17, RBC,  67%, 146, 98, 68, 103
18, RBC,  65%, 87, 352, 59, 63
19, RBC,  64%, 189, 0, 70, 57
