id, class, score, x, y, w, h
1, RBC,  93%, 211, 0, 75, 78
2, RBC,  93%, 283, 339, 69, 76
3, RBC,  93%, 290, 124, 80, 93
4, RBC,  92%, 104, 343, 68, 72
5, RBC,  92%, 306, 207, 80, 94
6, RBC,  92%, 79, 266, 72, 83
7, RBC,  92%, 210, 83, 81, 80
8, RBC,  91%, 227, 169, 62, 85
9, RBC,  91%, 286, 26, 62, 93
10, RBC,  90%, 0, 263, 72, 105
11, RBC,  90%, 182, 305, 77, 104
12, WBC,  90%, 110, 131, 129, 201
13, RBC,  86%, 0, 83, 67, 104
14, RBC,  83%, 345, 10, 68, 113
15, RBC,  78%, 125, 67, 70, 82
16, RBC,  65%, 26, 357, 74, 57
17, RBC,  57%, 0, 176, 41, 78
