id, class, score, x, y, w, h
1, truck,  84%, 577, 535, 192, 237
2, person,  84%, 38, 221, 42, 87
3, car,  80%, 559, 189, 107, 96
4, car,  79%, 874, 528, 244, 212
5, car,  78%, 1107, 778, 433, 373
6, car,  75%, 1772, 1038, 224, 92
7, person,  73%, 1554, 389, 39, 79
8, car,  73%, 1910, 760, 89, 148
9, car,  72%, 1489, 651, 340, 226
10, bus,  69%, 625, 33, 109, 90
11, car,  67%, 633, 288, 132, 98
12, bicycle,  67%, 1151, 276, 54, 33
13, person,  66%, 1768, 509, 64, 88
14, bus,  65%, 730, 194, 218, 214
15, car,  64%, 1045, 456, 255, 244
16, car,  63%, 522, 158, 79, 67
17, bus,  63%, 267, 84, 117, 149
18, car,  63%, 1321, 703, 325, 269
19, car,  62%, 448, 265, 122, 99
20, person,  61%, 1310, 308, 26, 43
21, person,  60%, 1678, 415, 53, 78
22, bus,  59%, 537, 60, 124, 126
23, car,  58%, 741, 395, 189, 156
24, person,  58%, 987, 381, 39, 81
25, car,  55%, 357, 91, 49, 43
26, person,  53%, 1842, 480, 46, 89
27, bus,  53%, 616, 101, 126, 154
28, person,  52%, 1147, 206, 16, 47
29, person,  49%, 1359, 321, 30, 77
30, person,  46%, 1199, 217, 20, 53
31, car,  45%, 317, 22, 46, 34
32, bus,  41%, 0, 56, 73, 175
