id, class, score, x, y, w, h
1, person,  85%, 885, 457, 62, 110
2, person,  79%, 820, 424, 39, 113
3, car,  78%, 575, 239, 71, 68
4, person,  77%, 476, 371, 36, 75
5, car,  76%, 593, 196, 47, 40
6, car,  75%, 106, 395, 285, 138
7, car,  74%, 529, 201, 43, 48
8, person,  73%, 765, 429, 35, 117
9, person,  73%, 834, 361, 38, 95
10, person,  72%, 207, 310, 26, 68
11, car,  72%, 385, 265, 74, 102
12, person,  70%, 137, 303, 24, 70
13, person,  66%, 807, 307, 28, 80
14, person,  64%, 273, 333, 28, 67
15, car,  63%, 474, 192, 41, 38
16, person,  58%, 296, 367, 35, 44
17, person,  57%, 833, 316, 26, 61
18, person,  56%, 400, 509, 36, 60
19, person,  54%, 741, 350, 27, 79
20, car,  53%, 401, 244, 55, 34
21, person,  53%, 185, 309, 23, 68
22, person,  50%, 224, 374, 27, 30
23, person,  50%, 289, 236, 18, 45
24, person,  47%, 187, 286, 21, 38
25, person,  47%, 296, 282, 21, 52
26, person,  45%, 412, 195, 16, 47
27, person,  41%, 787, 307, 29, 81
28, traffic light,  41%, 793, 90, 26, 43
29, person,  41%, 266, 304, 20, 53
30, bicycle,  40%, 482, 414, 24, 46
