id, class, score, x, y, w, h
1, person,  90%, 60, 354, 54, 129
2, person,  87%, 475, 360, 45, 122
3, person,  86%, 521, 362, 50, 130
4, person,  82%, 417, 361, 37, 113
5, car,  78%, 703, 372, 258, 84
6, car,  76%, 170, 367, 62, 30
7, person,  74%, 259, 360, 23, 57
8, person,  73%, 570, 357, 38, 104
9, person,  73%, 9, 374, 42, 101
10, person,  68%, 325, 381, 42, 104
11, person,  67%, 291, 358, 29, 84
12, car,  61%, 131, 364, 42, 31
13, person,  61%, 394, 367, 18, 48
14, person,  59%, 694, 363, 25, 58
15, person,  58%, 112, 367, 25, 66
16, umbrella,  57%, 328, 363, 63, 23
17, person,  46%, 627, 364, 29, 79
18, person,  45%, 234, 375, 25, 44
19, person,  45%, 380, 367, 15, 41
20, backpack,  45%, 63, 374, 23, 40
21, person,  43%, 609, 360, 25, 79
22, person,  42%, 522, 359, 17, 46
23, person,  41%, 669, 365, 17, 46
24, traffic light,  41%, 786, 279, 15, 34
25, person,  41%, 993, 357, 26, 63
