id, class, score, x, y, w, h
1, car,  90%, 1305, 612, 326, 281
2, car,  87%, 1243, 895, 339, 185
3, car,  85%, 1569, 643, 328, 261
4, car,  84%, 211, 631, 261, 203
5, car,  84%, 1024, 376, 91, 93
6, car,  84%, 1173, 481, 140, 127
7, car,  82%, 484, 870, 296, 207
8, car,  81%, 1107, 327, 69, 54
9, person,  79%, 1093, 472, 41, 72
10, person,  77%, 813, 592, 55, 109
11, person,  77%, 637, 463, 37, 87
12, car,  77%, 1172, 360, 110, 95
13, car,  77%, 886, 403, 98, 111
14, person,  76%, 1142, 389, 28, 56
15, person,  76%, 490, 625, 61, 108
16, person,  75%, 497, 796, 74, 177
17, person,  75%, 680, 740, 74, 143
18, person,  74%, 1127, 551, 50, 99
19, person,  73%, 318, 591, 40, 48
20, person,  73%, 738, 552, 46, 90
21, car,  72%, 880, 277, 43, 37
22, person,  71%, 803, 498, 39, 84
23, car,  70%, 941, 333, 55, 59
24, person,  69%, 840, 402, 34, 69
25, person,  68%, 580, 543, 48, 87
26, person,  68%, 493, 510, 46, 91
27, person,  68%, 875, 496, 39, 88
28, car,  67%, 863, 625, 200, 300
29, person,  67%, 1396, 459, 40, 47
30, person,  67%, 667, 614, 51, 93
31, person,  66%, 1855, 272, 24, 57
32, person,  65%, 1334, 454, 39, 68
33, person,  64%, 1243, 686, 69, 129
34, person,  64%, 863, 313, 27, 52
35, person,  64%, 923, 309, 17, 45
36, person,  64%, 780, 296, 19, 43
37, person,  64%, 540, 648, 63, 95
38, car,  63%, 1017, 309, 57, 51
39, person,  63%, 629, 565, 55, 103
40, person,  63%, 779, 419, 33, 71
41, person,  62%, 306, 838, 89, 158
42, person,  62%, 706, 655, 63, 131
43, car,  61%, 1347, 502, 187, 146
44, car,  61%, 910, 369, 76, 72
45, person,  59%, 0, 681, 47, 138
46, person,  59%, 1285, 471, 41, 90
47, car,  58%, 900, 225, 29, 25
48, car,  58%, 1045, 345, 65, 55
49, person,  58%, 803, 314, 21, 49
50, car,  58%, 974, 239, 35, 28
51, person,  57%, 752, 454, 36, 65
52, person,  55%, 689, 504, 30, 84
53, person,  54%, 553, 705, 64, 126
54, person,  53%, 782, 701, 61, 76
55, person,  53%, 840, 330, 19, 50
56, person,  52%, 1085, 666, 71, 122
57, person,  52%, 705, 293, 22, 46
58, person,  52%, 395, 728, 68, 154
59, person,  52%, 1081, 312, 22, 41
60, person,  51%, 1604, 262, 26, 44
61, person,  49%, 869, 358, 24, 62
62, person,  49%, 755, 616, 56, 76
63, car,  49%, 944, 278, 58, 56
64, person,  46%, 1763, 345, 40, 44
65, person,  44%, 787, 367, 21, 42
66, person,  44%, 823, 438, 35, 65
67, car,  44%, 1050, 233, 33, 33
68, person,  44%, 346, 493, 42, 57
69, person,  43%, 265, 537, 49, 82
70, car,  43%, 1320, 241, 65, 40
71, person,  43%, 1818, 283, 33, 48
72, car,  42%, 595, 338, 70, 45
73, person,  41%, 480, 393, 22, 49
74, person,  41%, 540, 465, 31, 71
75, person,  40%, 719, 441, 33, 66
