id, class, score, x, y, w, h
1, car,  90%, 1305, 612, 326, 281
2, car,  87%, 1243, 895, 339, 185
3, car,  85%, 1569, 643, 328, 261
4, car,  84%, 211, 631, 261, 203
5, car,  84%, 1024, 376, 91, 93
6, car,  84%, 1173, 481, 140, 127
7, car,  82%, 484, 870, 296, 207
8, car,  81%, 1107, 327, 69, 54
9, car,  77%, 1172, 360, 110, 95
10, car,  77%, 886, 403, 98, 111
11, car,  72%, 880, 277, 43, 37
12, car,  70%, 941, 333, 55, 59
13, car,  67%, 863, 625, 200, 300
14, car,  63%, 1017, 309, 57, 51
15, car,  61%, 1347, 502, 187, 146
16, car,  61%, 910, 369, 76, 72
17, car,  58%, 900, 225, 29, 25
18, car,  58%, 1045, 345, 65, 55
19, car,  58%, 974, 239, 35, 28
20, car,  49%, 944, 278, 58, 56
21, car,  44%, 1050, 233, 33, 33
22, car,  43%, 1320, 241, 65, 40
23, car,  42%, 595, 338, 70, 45
