id, class, score, x, y, w, h
1, person,  85%, 885, 457, 62, 110
2, person,  79%, 820, 424, 39, 113
3, person,  77%, 476, 371, 36, 75
4, person,  73%, 765, 429, 35, 117
5, person,  73%, 834, 361, 38, 95
6, person,  72%, 207, 310, 26, 68
7, person,  70%, 137, 303, 24, 70
8, person,  66%, 807, 307, 28, 80
9, person,  64%, 273, 333, 28, 67
10, person,  58%, 296, 367, 35, 44
11, person,  57%, 833, 316, 26, 61
12, person,  56%, 400, 509, 36, 60
13, person,  54%, 741, 350, 27, 79
14, person,  53%, 185, 309, 23, 68
15, person,  50%, 224, 374, 27, 30
16, person,  50%, 289, 236, 18, 45
17, person,  47%, 187, 286, 21, 38
18, person,  47%, 296, 282, 21, 52
19, person,  45%, 412, 195, 16, 47
20, person,  41%, 787, 307, 29, 81
21, person,  41%, 266, 304, 20, 53
