id, class, score, x, y, w, h
1, car,  90%, 1305, 612, 326, 281
2, car,  87%, 1243, 895, 339, 185
3, car,  85%, 1569, 643, 328, 261
4, car,  84%, 211, 631, 261, 203
5, car,  84%, 1024, 376, 91, 93
6, car,  84%, 1173, 481, 140, 127
7, car,  82%, 484, 870, 296, 207
8, motorcycle,  81%, 1229, 746, 89, 123
9, car,  81%, 1107, 327, 69, 54
10, person,  79%, 1093, 472, 41, 72
11, motorcycle,  78%, 1082, 716, 74, 126
12, person,  77%, 813, 592, 55, 109
13, person,  77%, 637, 463, 37, 87
14, car,  77%, 1172, 360, 110, 95
15, car,  77%, 886, 403, 98, 111
16, person,  76%, 1142, 389, 28, 56
17, bus,  76%, 786, 218, 92, 65
18, person,  76%, 490, 625, 61, 108
19, motorcycle,  76%, 782, 751, 70, 105
20, person,  75%, 497, 796, 74, 177
21, person,  75%, 680, 740, 74, 143
22, person,  74%, 1127, 551, 50, 99
23, motorcycle,  74%, 0, 864, 184, 182
24, person,  73%, 318, 591, 40, 48
25, person,  73%, 738, 552, 46, 90
26, car,  72%, 880, 277, 43, 37
27, person,  71%, 803, 498, 39, 84
28, car,  70%, 941, 333, 55, 59
29, bus,  69%, 585, 341, 158, 164
30, person,  69%, 840, 402, 34, 69
31, motorcycle,  69%, 377, 520, 117, 72
32, person,  68%, 580, 543, 48, 87
33, person,  68%, 493, 510, 46, 91
34, person,  68%, 875, 496, 39, 88
35, car,  67%, 863, 625, 200, 300
36, motorcycle,  67%, 452, 414, 74, 44
37, person,  67%, 1396, 459, 40, 47
38, person,  67%, 667, 614, 51, 93
39, person,  66%, 1855, 272, 24, 57
40, person,  65%, 1334, 454, 39, 68
41, person,  64%, 1243, 686, 69, 129
42, person,  64%, 863, 313, 27, 52
43, person,  64%, 923, 309, 17, 45
44, person,  64%, 780, 296, 19, 43
45, person,  64%, 540, 648, 63, 95
46, car,  63%, 1017, 309, 57, 51
47, person,  63%, 629, 565, 55, 103
48, person,  63%, 779, 419, 33, 71
49, person,  62%, 306, 838, 89, 158
50, person,  62%, 706, 655, 63, 131
51, car,  61%, 1347, 502, 187, 146
52, car,  61%, 910, 369, 76, 72
53, person,  59%, 0, 681, 47, 138
54, person,  59%, 1285, 471, 41, 90
55, car,  58%, 900, 225, 29, 25
56, car,  58%, 1045, 345, 65, 55
57, person,  58%, 803, 314, 21, 49
58, car,  58%, 974, 239, 35, 28
59, motorcycle,  57%, 451, 472, 60, 46
60, person,  57%, 752, 454, 36, 65
61, motorcycle,  55%, 1662, 319, 48, 45
62, person,  55%, 689, 504, 30, 84
63, person,  54%, 553, 705, 64, 126
64, person,  53%, 782, 701, 61, 76
65, person,  53%, 840, 330, 19, 50
66, person,  52%, 1085, 666, 71, 122
67, person,  52%, 705, 293, 22, 46
68, person,  52%, 395, 728, 68, 154
69, person,  52%, 1081, 312, 22, 41
70, motorcycle,  51%, 1095, 510, 33, 62
71, person,  51%, 1604, 262, 26, 44
72, motorcycle,  51%, 488, 684, 67, 92
73, motorcycle,  51%, 668, 661, 49, 84
74, motorcycle,  50%, 907, 571, 45, 55
75, motorcycle,  49%, 541, 503, 61, 70
76, person,  49%, 869, 358, 24, 62
77, person,  49%, 755, 616, 56, 76
78, car,  49%, 944, 278, 58, 56
79, motorcycle,  48%, 1502, 287, 33, 38
80, motorcycle,  47%, 700, 531, 50, 70
81, motorcycle,  47%, 1532, 264, 47, 36
82, person,  46%, 1763, 345, 40, 44
83, motorcycle,  45%, 1130, 603, 50, 76
84, person,  44%, 787, 367, 21, 42
85, person,  44%, 823, 438, 35, 65
86, car,  44%, 1050, 233, 33, 33
87, person,  44%, 346, 493, 42, 57
88, motorcycle,  44%, 684, 817, 52, 63
89, person,  43%, 265, 537, 49, 82
90, car,  43%, 1320, 241, 65, 40
91, person,  43%, 1818, 283, 33, 48
92, motorcycle,  42%, 755, 484, 32, 56
93, motorcycle,  42%, 590, 584, 37, 79
94, motorcycle,  42%, 806, 538, 35, 64
95, car,  42%, 595, 338, 70, 45
96, person,  41%, 480, 393, 22, 49
97, person,  41%, 540, 465, 31, 71
98, motorcycle,  41%, 1755, 370, 52, 49
99, person,  40%, 719, 441, 33, 66
100, motorcycle,  40%, 421, 382, 31, 40
